USER_ID, GROUP, DOF real R, DOF virtual R, target distance R, target width R, TARGET_DISTANCE_ROTATE, TARGET_WIDTH_ROTATE, ID combined, ID R, REPETITION, TRIAL, SUCCESSFUL CLICKS, Hit, OVERSHOOTS R, PEAK ACCELERATION R, MOVEMENT CONTINUITY R, PEAK SPEED R, HIT TYPE, MT, ERROR R , FIRST REVERSAL R, REVERSAL POINTS R, TP, 
6, 1, 1, 1, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 1, 3, 1, 1, 8456.022250680942, 0.0, 678.0819986102217, Manual, 16.08375358581543, 0.7479652624263702, 0, 2, 0.24869816480698118, 
6, 1, 1, 1, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 2, 5, 1, 1, 6739.29320130718, -0.12469539010490782, 498.4073309726281, Manual, 1.1705474853515625, 0.6535786612251738, nan, 1, 3.4172043851759155, 
6, 1, 1, 1, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 3, 7, 1, 1, 9323.849449573687, -0.1644844426017312, 519.7072366117834, Manual, 1.4380607604980469, 0.647471639361543, 98.48549598292513, 2, 2.7815236392478098, 
6, 1, 1, 1, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 4, 9, 1, 1, 9540.356401710313, -0.14677890043117653, 509.2050620116871, Manual, 1.3377552032470703, 0.2429432564019458, nan, 2, 2.990083679204527, 
6, 1, 1, 1, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 5, 9, 0, 1, 8012.409936471906, -1.1207130795236808, 664.8261541746928, Manual, 0.9028892517089844, 4.333162853746748, 80.88008425383622, 2, 4.4302221921778555, 
6, 1, 1, 1, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 6, 9, 0, 1, 15864.91895840786, -0.04379150598351209, 812.1078450786533, Manual, 0.8357677459716797, 4.052756640026838, nan, 1, 4.786018626920716, 
6, 1, 1, 1, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 7, 9, 0, 1, 7692.98521091274, -0.08528942154568533, 550.6153674765842, Manual, 1.1521148681640625, 5.064967876610345, 61.89612171473572, 3, 3.471876034699689, 
6, 1, 1, 1, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 8, 11, 1, 1, 8922.258745916672, -0.15276023035089023, 649.5590190356911, Manual, 1.4374427795410156, 0.7724522435051435, nan, 2, 2.7827194632938537, 
6, 1, 1, 1, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 9, 13, 1, 0, 7844.602796354566, -0.20255392375640632, 462.7807953516992, Manual, 1.070291519165039, 0.1927093005501197, 81.41884751219662, 1, 4.671624422382253, 
6, 1, 1, 1, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 10, 13, 0, 2, 11329.281188886032, -0.16179530842672338, 713.4742365235834, Manual, 1.187063217163086, 1.7583632366307869, nan, 2, 4.212075589326487, 
6, 1, 1, 1, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 11, 15, 1, 0, 9995.618501768848, -0.1532104060757526, 645.2856606333282, Manual, 1.336984634399414, 0.4809785416423787, 70.23143465112378, 2, 3.739758761136433, 
6, 1, 1, 1, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 12, 17, 1, 2, 16304.089171689759, -0.22870686751020128, 843.1159743434549, Manual, 1.705545425415039, 0.7142359836944006, nan, 2, 2.93161350351209, 
6, 1, 1, 1, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 13, 19, 1, 0, 10290.716284251353, -0.9396377890953355, 743.2118341166829, Manual, 1.1369800567626953, 0.2162945484070808, 61.032209634957276, 2, 4.3976145142214875, 
6, 1, 1, 1, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 14, 21, 1, 0, 9822.71782050006, -0.5528546889010798, 598.0789881067376, Manual, 0.9697799682617188, 1.3652395459009605, nan, 2, 5.155808702629985, 
