User Id, Group, DOF real T, DOF real R, DOF virtual T, DOF virtual R, task R DOF, task T DOF, target distance T [m], target width T [m], target distance R [m], target width R [m], ID effective R [bit], ID effective T [bit], ID combined [bit], repetition, trial, button clicks, successful clicks, Hit, hit type, MT [s], effective end pos, effective A trans [m], overshoots T, peak acceleration T [m/s^2], movement continuity T, error T [m], peak speed T [m/s], first reversal T, reversal points T, effective end rot, effective A rot [m], overshoots R, peak acceleration R [°/s^2], movement continuity R, error R, peak speed R, first reversal R, reversal points R, Cursor, TP [bit/s], 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 0, 1, 1, 1, Manual, 3.18316650390625, (0.175  0.000  0.004), 0.34950612762806055, 0, 2.7544181338718454, -1.3496233107768514, 0.004284522015695344, 0.4577608594635571, 0.04918307182432779, 23, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 1, 2, 2, 1, Manual, 1.5487594604492188, (-0.174  0.000  0.004), 0.3491301400178419, 1, 4.75379660589623, -0.8271815110046595, 0.004112849854685328, 0.6205521673305723, 0.01921971097341551, 9, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 2, 3, 2, 0, Manual, 1.24957275390625, (0.157  0.000  -0.004), 0.331462424078012, 1, 5.696511429176365, -0.27064896990504955, 0.01817824362348247, 0.5927883257771532, 0.05129533204979779, 8, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 3, 4, 3, 1, Manual, 1.3831253051757812, (-0.180  0.000  0.002), 0.3369770032346949, 0, 8.128418398069105, -0.19740630641054058, 0.0048325984059731, 0.752684977126828, 0.06810692303345643, 10, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 4, 5, 4, 1, Manual, 1.3663864135742188, (0.171  0.000  -0.006), 0.3510708104221896, 1, 4.35940761903157, -0.2586812463759985, 0.007385899314274234, 0.5177117310520728, 0.08541279048841587, 11, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 5, 6, 5, 1, Manual, 1.199615478515625, (-0.173  0.000  -0.003), 0.344475765965085, 1, 9.10341466174821, -0.25345701884940536, 0.003984455441177312, 0.9354945560491406, 0.04431076514031427, 9, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 6, 7, 6, 1, Manual, 1.1329612731933594, (0.176  0.000  -0.003), 0.348677120165573, 1, 6.003283898600632, -0.9430212859324845, 0.0032629684255428607, 0.8466972338068692, 0.019847295296634256, 7, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 7, 8, 7, 1, Manual, 1.1567955017089844, (-0.175  0.000  -0.005), 0.35105668187258793, 1, 4.922387279949921, -0.5433273437256919, 0.00503428180470911, 0.6233033742598548, 0.04028469527694909, 8, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 8, 9, 8, 1, Manual, 1.1493644714355469, (0.173  0.000  -0.012), 0.34851677254987795, 1, 7.182587475011901, -0.7252452107479457, 0.012346593653677268, 0.8010072871489882, 0.03613936620224174, 7, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 9, 10, 9, 1, Manual, 1.1329383850097656, (-0.171  0.000  -0.008), 0.34438575478702954, 0, 4.825116989305109, -0.34980306964157254, 0.00924364253386767, 0.6267617933851094, 0.038678441882175, 8, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 10, 11, 9, 0, Manual, 1.2329635620117188, (0.158  0.000  -0.001), 0.3290165609113062, 1, 7.631887250919188, -0.5499479087298641, 0.01746951811627867, 0.5755619364971888, 0.05025503239220939, 6, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
5, 2, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 11, 12, 10, 1, Manual, 1.2329826354980469, (-0.174  0.000  0.008), 0.33217859516275344, 0, 9.14501696826744, -0.16474909083393222, 0.007712107598134337, 0.7384562039101816, 0.034819164500085625, 8, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
