User Id, Group, DOF real T, DOF real R, DOF virtual T, DOF virtual R, task R DOF, task T DOF, target distance T [m], target width T [m], target distance R [m], target width R [m], ID effective R [bit], ID effective T [bit], ID combined [bit], repetition, trial, button clicks, successful clicks, Hit, hit type, MT [s], effective end pos, effective A trans [m], overshoots T, peak acceleration T [m/s^2], movement continuity T, error T [m], peak speed T [m/s], first reversal T, reversal points T, effective end rot, effective A rot [m], overshoots R, peak acceleration R [°/s^2], movement continuity R, error R, peak speed R, first reversal R, reversal points R, Cursor, TP [bit/s], 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 0, 1, 1, 1, Manual, 2.718168258666992, (0.173  0.000  0.001), 0.34948274773088556, 0, 6.78761655234656, -0.8171789673292811, 0.0020649456212923543, 0.6456874737709889, 0.04030639953053858, 33, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 1, 2, 2, 1, Manual, 2.1658802032470703, (-0.176  0.000  0.003), 0.34869001591477955, 1, 5.241488667311062, -0.3645029497028067, 0.0033490982887131537, 0.5134450716942784, 0.0575404270648356, 23, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 2, 3, 3, 1, Manual, 1.849578857421875, (0.176  0.000  -0.001), 0.3519526268094423, 1, 8.586571437979012, -0.4422005592193631, 0.0015010837717466163, 0.8090186956849876, 0.04259429321670455, 21, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 3, 4, 4, 1, Manual, 2.699981689453125, (-0.175  0.000  -0.000), 0.35184902543118923, 1, 4.3437730708946365, -0.4335506003302071, 0.000576882100606227, 0.5470464951940314, 0.05070585114976912, 37, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 4, 5, 5, 1, Manual, 2.3166446685791016, (0.177  0.000  0.001), 0.3521900145116768, 1, 4.409050070827344, -0.9740754318214312, 0.0019299021577668474, 0.6244563557951686, 0.09829586434744222, 28, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 5, 6, 6, 1, Manual, 2.199676513671875, (-0.176  0.000  0.000), 0.3532109005526004, 1, 6.62640811739131, -1.1314707782816893, 0.0014560812417338924, 0.8625244385187281, 0.027095895415503158, 28, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 6, 7, 7, 1, Manual, 1.7663002014160156, (0.174  0.000  0.000), 0.35067513697954694, 1, 7.919964012286492, -0.6877447564089154, 0.0008451355242269807, 0.9308532986527258, 0.020521319597491715, 21, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 7, 8, 8, 1, Manual, 2.4503440856933594, (-0.176  0.000  0.001), 0.3501212351251424, 1, 6.852077089985944, -0.3056916896086781, 0.00116416779511298, 0.7922216205912884, 0.01467834204085596, 31, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 8, 9, 9, 1, Manual, 2.869558334350586, (0.175  0.000  -0.001), 0.35040648060284374, 1, 7.6403356443141694, -0.40188123620593835, 0.0007675071059787364, 0.7680784027825343, 0.02228714140063837, 40, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 9, 10, 10, 1, Manual, 2.2664108276367188, (-0.177  0.000  -0.000), 0.35169846814674466, 2, 7.9220610711757065, -0.556613546302508, 0.0021960771111486596, 0.9496214010892015, 0.005956998561636103, 28, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 10, 11, 11, 1, Manual, 1.7997016906738281, (0.176  0.000  0.001), 0.3532649087188491, 1, 8.751023839803796, -1.2824237650814614, 0.0015599645553338822, 0.9852446346240081, 0.014734309340278742, 21, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 11, 12, 12, 1, Manual, 2.1500816345214844, (-0.173  0.000  0.002), 0.34955857058655476, 1, 5.058972447497811, -0.9690577779845959, 0.002899699620849608, 0.7757464928598929, 0.04143021708786192, 27, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
12, 1, 2, 1, 2, 0, 0, 1, 0.35, 0.03, 0, 0, 0, -, 0, 20, 12, 13, 13, 1, Manual, 2.3168258666992188, (0.176  0.000  -0.003), 0.3497475139060414, 2, 6.430607671814416, -0.351030804043297, 0.0035609521694079547, 0.7603087933855119, 0.050901957321253244, 29, (1.000  0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, Phone, 0.0, 
